,name
0,치로 임모빌레
1,호아킨 코레아
2,F. 아체르비
3,루이스 알베르토
4,S. 밀린코비치-사비치
5,루카스 레이바
6,베슬리 후트
7,아담 마루시치
8,마르코 파롤로
9,J. 아크파 아크프로
10,토마스 스트라코샤
11,루이스 펠리피
12,페페 레이나
13,모하메드 파레스
14,펠리페 카이세도
15,파트리크
16,베다트 무리치
17,마누엘 라차리
18,세나드 룰리치
19,Ș. 라두
20,마테오 무사키오
21,안드레아스 페레이라
22,다닐로 카탈디
23,S. 치시
24,곤살로 에스칼란테
25,자판 안데르손
