,name
0,세르지우 올리베이라
1,샹셀 음벰바
2,자이두 사누시
3,디오구 레이트
4,아구스틴 마르체신
5,오타비우
6,헤수스 코로나
7,마테우스 우리베
8,무사 마레가
9,루이스 디아스
10,윌송 마나파
11,펠리피 안데르송
12,파비우 비에이라
13,디오구 코스타
14,말랑 사르
15,나누
16,주앙 마리우
17,토니 마르티네스
18,호마리우 바로
19,페페
20,마르코 그루이치
21,메흐디 타레미
22,에바니우송
23,카라사
24,마마두 룸
25,클라우디우 하무스
26,M. 음바예
