,name
0,엘링 홀란
1,마츠 후멜스
2,제이든 산초
3,악셀 비첼
4,마누엘 아칸지
5,토르간 아자르
6,로만 뷔어키
7,토마 뫼니에
8,하파엘 게헤이루
9,마흐무드 다후드
10,G. 레이나
11,마르코 로이스
12,토마스 딜레이니
13,J. 벨링엄
14,율리안 브란트
15,우카시 피슈체크
16,마테우 모레이
17,마르빈 히츠
18,엠레 잔
19,단악셀 자가두
20,헤이니에르
21,니코 슐츠
22,A. 크나우프
23,펠릭스 파슬라크
24,토비아스 라슐
25,슈테펜 티게스
26,S. 드를랴차
